"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","Typ","Überschuldungsquoten in %","","","","",""
"","","","","2014","2015","2016","2017","2018","2019"
"307.","Rotenburg (Wümme)","Niedersachsen","LK","9,39","9,28","9,33","9,29","9,19","9,27"
"308.","Roth","Bayern","LK","5,60","5,72","5,78","5,75","5,59","5,49"
"309.","Rottal-Inn","Bayern","LK","5,76","5,85","6,07","6,31","6,59","6,60"
"310.","Rottweil","Baden-Württemberg","LK","7,59","7,88","8,00","8,03","7,99","7,90"
"311.","Saale-Holzland-Kreis","Thüringen","LK","7,40","7,34","7,46","7,43","7,50","7,46"
"312.","Saalekreis","Sachsen-Anhalt","LK","11,45","11,49","11,66","11,60","11,59","11,51"
"313.","Saale-Orla-Kreis","Thüringen","LK","7,56","7,47","7,56","7,52","7,47","7,30"
"314.","Saalfeld-Rudolstadt","Thüringen","LK","7,81","7,92","8,11","8,18","8,23","7,89"
"315.","Saarlouis","Saarland","LK","9,92","9,96","9,94","9,79","9,93","10,02"
"316.","Saarpfalz-Kreis","Saarland","LK","9,21","9,21","9,16","9,06","9,11","9,15"
"317.","Sächsische Schweiz-Osterzgebirge","Sachsen","LK","7,81","7,97","8,31","8,33","8,32","8,18"
"318.","Salzgitter, Stadt","Niedersachsen","KS","12,51","12,85","12,95","13,24","13,49","13,66"
"319.","Salzlandkreis","Sachsen-Anhalt","LK","12,54","12,62","12,86","12,95","13,10","13,17"
"320.","Schaumburg","Niedersachsen","LK","11,58","11,70","11,76","11,79","11,71","11,57"
"321.","Schleswig-Flensburg","Schleswig-Holstein","K","10,67","10,33","10,55","10,64","10,61","10,60"
"322.","Schmalkalden-Meiningen","Thüringen","LK","9,11","9,00","9,44","9,54","9,54","9,34"
"323.","Schwabach","Bayern","KS","7,57","7,86","8,00","8,08","7,86","7,84"
"324.","Schwäbisch Hall","Baden-Württemberg","LK","6,67","6,74","7,08","7,12","7,12","7,04"
"325.","Schwalm-Eder-Kreis","Hessen","LK","9,80","9,81","10,04","10,02","10,06","10,11"
"326.","Schwandorf","Bayern","LK","6,83","6,93","7,03","7,23","7,32","7,14"
"327.","Schwarzwald-Baar-Kreis","Baden-Württemberg","LK","8,97","9,12","9,17","9,24","9,30","9,20"
"328.","Schweinfurt","Bayern","LK","4,92","5,03","5,06","5,06","5,12","5,04"
"329.","Schweinfurt, Stadt","Bayern","KS","9,96","10,23","10,33","10,72","10,67","10,45"
"330.","","Schwerin  Mecklenburg-Vorpommern","KS","13,80","14,11","13,95","13,47","13,55","13,58"
"331.","Segeberg","Schleswig-Holstein","K","10,08","9,68","9,97","9,86","9,82","9,71"
"332.","Siegen-Wittgenstein","Nordrhein-Westfalen","K","9,25","9,27","9,36","9,28","9,44","9,58"
"333.","Sigmaringen","Baden-Württemberg","LK","9,00","9,02","9,21","9,11","9,16","9,10"
"334.","Soest","Nordrhein-Westfalen","K","10,49","10,57","10,61","10,31","10,25","10,10"
"335.","Solingen, Klingenstadt","Nordrhein-Westfalen","KS","14,18","14,27","14,48","14,57","14,85","15,30"
"336.","Sömmerda","Thüringen","LK","9,21","9,22","9,49","9,47","9,54","9,39"
"337.","Sonneberg","Thüringen","LK","8,81","8,71","8,82","8,87","8,93","8,83"
"338.","Speyer, kreisfreie Stadt","Rheinland-Pfalz","KS","10,71","10,65","10,62","10,76","10,75","10,58"
"339.","Spree-Neiße","Brandenburg","LK","9,07","9,12","9,34","9,34","9,38","9,24"
"340.","St. Wendel","Saarland","LK","8,01","7,98","7,86","7,79","7,86","7,82"
"341.","Stade","Niedersachsen","LK","9,16","9,07","9,28","9,28","9,30","9,35"
"342.","Starnberg","Bayern","LK","5,80","6,06","6,27","6,32","6,30","6,14"
"343.","Steinburg","Schleswig-Holstein","K","11,66","11,85","12,12","12,18","12,15","12,09"
"344.","Steinfurt","Nordrhein-Westfalen","K","8,93","8,93","8,93","8,81","8,81","8,75"
"345.","Stendal","Sachsen-Anhalt","LK","12,15","12,17","12,49","12,42","12,33","12,22"
