"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","Typ","Überschuldungsquoten in %","","","","",""
"","","","","2014","2015","2016","2017","2018","2019"
"73.","Dithmarschen","Schleswig-Holstein","K","12,80","12,43","12,78","12,78","12,84","12,74"
"74.","Donau-Ries","Bayern","LK","5,16","5,24","5,65","5,67","5,65","5,52"
"75.","Donnersbergkreis","Rheinland-Pfalz","LK","11,06","11,04","11,44","11,46","11,41","11,36"
"76.","Dortmund, Stadt","Nordrhein-Westfalen","KS","14,26","14,30","14,46","14,44","14,44","14,33"
"77.","Dresden, Stadt","Sachsen","KS","8,95","9,25","9,43","9,39","9,27","9,19"
"78.","Duisburg, Stadt","Nordrhein-Westfalen","KS","15,86","16,20","16,64","17,08","17,20","17,52"
"79.","Düren, Kreis","Nordrhein-Westfalen","K","11,75","11,75","11,91","11,91","11,98","11,98"
"80.","Düsseldorf, Stadt","Nordrhein-Westfalen","KS","12,40","12,35","12,31","12,12","12,09","12,09"
"81.","Ebersberg","Bayern","LK","5,49","5,67","5,80","5,87","5,99","5,86"
"82.","Eichsfeld","Thüringen","LK","6,27","6,34","6,33","6,32","6,14","6,21"
"83.","Eichstätt","Bayern","LK","3,67","3,74","3,79","3,77","3,85","3,98"
"84.","Eifelkreis Bitburg-Prüm","Rheinland-Pfalz","LK","7,70","7,13","7,92","8,15","8,45","8,58"
"85.","Eisenach, Stadt","Thüringen","KS","12,16","12,24","12,23","12,06","11,91","11,93"
"86.","Elbe-Elster","Brandenburg","LK","8,61","8,67","8,91","8,92","8,99","9,01"
"87.","Emden, Stadt","Niedersachsen","KS","13,91","13,81","13,86","13,80","14,03","14,19"
"88.","Emmendingen","Baden-Württemberg","LK","6,99","7,04","7,13","7,12","7,08","6,94"
"89.","Emsland","Niedersachsen","LK","8,49","8,51","8,85","8,86","8,95","9,02"
"90.","Ennepe-Ruhr-Kreis","Nordrhein-Westfalen","K","10,81","10,89","10,94","10,95","11,04","11,13"
"91.","Enzkreis","Baden-Württemberg","LK","6,84","6,85","7,24","7,23","7,12","7,07"
"92.","Erding","Bayern","LK","6,15","6,15","6,32","6,41","6,34","6,15"
"93.","Erfurt, Stadt","Thüringen","KS","11,45","11,40","11,29","11,17","11,19","11,09"
"94.","Erlangen, Stadt","Bayern","KS","5,99","6,12","6,62","6,87","6,88","6,76"
"95.","Erlangen-Höchstadt","Bayern","LK","4,76","4,81","4,93","4,99","4,99","4,91"
"96.","Erzgebirgskreis","Sachsen","LK","7,42","7,85","7,99","8,15","8,09","7,93"
"97.","Essen, Stadt","Nordrhein-Westfalen","KS","13,15","12,95","13,59","13,76","13,96","14,23"
"98.","Esslingen","Baden-Württemberg","LK","7,45","7,46","7,62","7,40","7,29","7,26"
"99.","Euskirchen","Nordrhein-Westfalen","K","10,90","10,87","11,03","11,04","11,03","10,95"
"100.","Flensburg, Stadt","Schleswig-Holstein","KS","16,40","16,21","16,17","16,21","16,24","16,33"
"101.","Forchheim","Bayern","LK","5,90","5,95","6,07","6,18","6,05","6,02"
"102.","Frankenthal (Pfalz), kreisfreie Stadt","Rheinland-Pfalz","KS","12,39","12,56","13,01","13,05","13,17","13,35"
"103.","Frankfurt (Oder), Stadt","Brandenburg","KS","12,72","12,70","12,75","12,64","12,61","12,32"
"104.","Frankfurt am Main, Stadt","Hessen","KS","10,90","10,90","10,75","10,58","10,74","10,76"
"105.","Freiburg im Breisgau, Stadtkreis","Baden-Württemberg","SK","7,79","7,76","8,10","8,18","8,26","8,07"
"106.","Freising","Bayern","LK","6,50","6,63","6,90","7,05","6,89","6,77"
"107.","Freudenstadt","Baden-Württemberg","LK","7,41","7,66","7,74","7,70","7,67","7,64"
"108.","Freyung-Grafenau","Bayern","LK","5,77","5,91","6,08","6,14","6,13","6,14"
"109.","Friesland","Niedersachsen","LK","10,03","9,96","10,03","10,14","9,93","9,91"
"110.","Fulda","Hessen","LK","7,60","7,65","7,77","7,71","7,70","7,67"
"111.","Fürstenfeldbruck","Bayern","LK","6,19","6,28","6,41","6,53","6,42","6,38"
