"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"268.","Ostholstein","Schleswig-Holstein","K","10,63","10,80","10,41","10,78","10,62","10,47"
"269.","Ostprignitz-Ruppin","Brandenburg","LK","11,79","11,96","11,99","12,45","12,46","12,27"
"270.","Paderborn","Nordrhein-Westfalen","K","9,13","9,16","9,07","9,05","9,07","9,19"
"271.","Passau","Bayern","LK","6,25","6,34","6,47","6,67","6,70","6,76"
"272.","Passau, Stadt","Bayern","KS","8,82","8,86","9,22","9,56","9,85","9,76"
"273.","Peine","Niedersachsen","LK","9,78","10,00","10,14","10,30","10,33","10,41"
"274.","Pfaffenhofen a.d.Ilm","Bayern","LK","6,22","6,22","6,15","6,23","6,31","6,38"
"275.","Pforzheim, Stadtkreis","Baden-Württemberg","SK","13,19","13,60","13,64","14,66","14,66","14,80"
"276.","Pinneberg","Schleswig-Holstein","K","9,67","9,64","9,53","9,57","9,60","9,62"
"277.","Pirmasens, kreisfreie Stadt","Rheinland-Pfalz","KS","17,73","18,34","18,43","18,38","18,23","18,35"
"278.","Plön","Schleswig-Holstein","K","8,67","8,88","8,64","9,06","8,95","8,94"
"279.","Potsdam, Stadt","Brandenburg","KS","9,24","9,14","9,14","9,09","8,99","8,92"
"280.","Potsdam-Mittelmark","Brandenburg","LK","7,90","7,84","7,91","7,87","7,65","7,55"
"281.","Prignitz","Brandenburg","LK","10,52","10,80","10,91","11,27","11,39","11,41"
"282.","Rastatt","Baden-Württemberg","LK","7,06","7,32","7,51","7,76","7,73","7,75"
"283.","Ravensburg","Baden-Württemberg","LK","6,60","6,62","6,59","6,92","7,08","7,17"
"284.","Recklinghausen","Nordrhein-Westfalen","K","12,18","12,55","12,80","12,84","12,99","13,15"
"285.","Regen","Bayern","LK","6,03","6,02","6,10","6,32","6,55","6,57"
"286.","Regensburg","Bayern","LK","5,57","5,66","5,79","6,00","5,97","5,84"
"287.","Regensburg, Stadt","Bayern","KS","9,86","9,75","9,91","10,12","9,91","9,53"
"288.","Region Hannover","Niedersachsen","LK","12,01","11,93","11,83","11,73","11,50","11,45"
"289.","Regionalverband Saarbrücken","Saarland","SV","14,13","14,17","14,24","14,34","14,42","14,52"
"290.","Remscheid, Stadt","Nordrhein-Westfalen","KS","13,51","13,58","13,52","13,98","13,89","14,10"
"291.","Rems-Murr-Kreis","Baden-Württemberg","LK","7,87","8,12","8,25","8,36","8,19","8,04"
"292.","Rendsburg-Eckernförde","Schleswig-Holstein","K","9,16","9,17","8,99","9,26","9,41","9,38"
"293.","Reutlingen","Baden-Württemberg","LK","7,24","7,32","7,32","7,65","7,81","8,00"
"294.","Rhein-Erft-Kreis","Nordrhein-Westfalen","K","10,84","10,96","11,23","11,31","11,37","11,40"
"295.","Rheingau-Taunus-Kreis","Hessen","LK","7,77","7,89","7,99","8,13","8,10","8,14"
"296.","Rhein-Hunsrück-Kreis","Rheinland-Pfalz","LK","8,18","8,33","8,16","8,56","8,46","8,45"
"297.","Rheinisch-Bergischer Kreis","Nordrhein-Westfalen","K","8,77","8,87","8,94","9,04","9,04","9,03"
"298.","Rhein-Kreis Neuss","Nordrhein-Westfalen","K","10,52","10,79","10,68","10,73","10,52","10,62"
"299.","Rhein-Lahn-Kreis","Rheinland-Pfalz","LK","10,03","10,28","10,32","10,95","10,87","10,79"
"300.","Rhein-Neckar-Kreis","Baden-Württemberg","LK","7,90","8,03","8,05","8,16","8,17","8,14"
"301.","Rhein-Pfalz-Kreis","Rheinland-Pfalz","LK","7,95","7,92","7,93","7,93","7,87","7,77"
"302.","Rhein-Sieg-Kreis","Nordrhein-Westfalen","K","8,96","8,96","8,97","9,00","8,85","8,84"
"303.","Rhön-Grabfeld","Bayern","LK","5,34","5,33","5,20","5,50","5,73","5,88"
"304.","Rosenheim","Bayern","LK","6,02","6,03","6,14","6,55","6,60","6,63"
"305.","Rosenheim, Stadt","Bayern","KS","9,20","9,32","9,78","10,08","10,36","10,38"
"306.","","Rostock  Mecklenburg-Vorpommern","KS","11,46","11,34","11,11","11,00","10,79","10,64"
